Timestamp,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,label
2023-09-30 22:56:25.853,349.32452,254.5166,264.79083,252.38037,266.3167,250.44759,236.8164,259.90802,252.27864,260.41666,247.19238,254.82178,247.59927,263.7736,251.87173,261.027,248.71826,253.60107,247.19238,475.36212,248.10791,238.54573,237.6302,245.86995,233.35774,251.77002,237.01985,551.0457,235.39224,253.90625,240.17334,257.4666,258.07697,258.1787,
2023-09-30 22:56:26.853,338.13477,241.08887,250.44759,239.46126,252.68555,238.13882,223.69385,246.68375,241.49576,247.09065,235.90088,243.53027,236.51123,251.77002,240.98714,248.71826,236.20605,242.61475,235.79915,474.65005,238.13882,228.06802,227.45767,235.1888,223.69385,241.39404,227.45767,548.70605,225.118,243.42854,230.61116,247.39583,247.701,247.80273,
2023-09-30 22:56:27.853,320.638,218.50586,227.96631,217.59033,230.40771,217.28516,201.61946,224.71109,223.8973,225.21973,216.77652,225.42317,217.38687,232.64566,222.57486,228.67838,216.36963,224.20247,217.28516,474.0397,221.15071,210.46956,210.46956,218.3024,206.90918,224.91455,211.38509,545.6543,208.74023,226.23697,215.35237,230.91634,230.8146,232.03531,
2023-09-30 22:56:28.853,316.1621,213.0127,222.37141,212.30061,225.118,212.50406,196.73665,219.72656,220.33691,220.23518,212.80923,222.06624,213.82649,229.08528,218.81104,224.71109,211.38509,220.64209,213.41959,474.85352,218.09895,207.51953,207.51953,215.35237,204.1626,222.16797,208.74023,545.756,205.68848,222.98177,212.70752,227.96631,227.66113,229.5939,
2023-09-30 22:56:29.853,315.14484,212.70752,221.55762,211.8937,224.50764,212.19888,196.1263,219.21793,220.33691,219.31966,212.80923,221.76106,213.92822,228.47493,218.50586,224.10074,210.57129,220.13345,212.70752,475.2604,217.89551,206.90918,207.21436,214.84375,203.85742,221.55762,208.2316,545.55255,205.28157,222.37141,212.09717,227.1525,227.1525,229.08528,
2023-09-30 22:56:30.853,324.91046,225.42317,233.66292,224.60938,237.32503,223.99902,209.14713,232.13704,231.73013,232.23877,224.40591,233.56119,226.23697,240.78369,229.49219,236.61295,222.06624,232.23877,223.8973,477.6001,228.67838,218.60757,218.20068,225.72835,214.74202,232.44221,219.01448,547.7905,216.2679,233.86636,222.06624,238.24055,237.73193,240.37679,
2023-09-30 22:56:31.853,336.20197,241.49576,249.02344,240.68196,253.39761,239.25781,226.13525,248.9217,246.17513,248.41309,239.35953,248.41309,242.0044,256.34766,244.0389,253.39761,237.01985,248.10791,238.74918,479.63458,243.02164,233.45947,232.95084,240.78369,229.79736,247.19238,233.1543,550.5371,230.71289,249.53206,235.90088,253.49934,252.68555,255.83902,
2023-09-30 22:56:32.853,335.4899,240.27505,248.10791,239.46126,252.0752,238.24055,224.71109,247.39583,244.64925,247.09065,238.24055,247.09065,240.47852,254.82178,242.81819,251.56656,235.69742,246.0734,237.12158,478.21045,241.39404,231.83186,231.52669,239.15608,228.06802,245.36133,231.62842,549.72327,228.98355,247.39583,234.06982,251.36311,251.15967,254.00797,
2023-09-30 22:56:33.853,340.98306,247.49756,255.3304,246.68375,259.29767,245.05615,231.73013,254.72005,250.65103,253.90625,244.24234,253.09244,246.68375,260.72183,248.31136,257.4666,241.39404,251.56656,242.41129,478.92252,246.17513,237.12158,236.30777,244.0389,232.64566,249.93896,236.10432,550.43536,233.56119,251.77002,238.03711,255.63557,255.22867,258.28043,
2023-09-30 22:56:34.853,348.10382,257.05972,264.48566,255.7373,268.35123,253.09244,240.68196,263.06152,257.67007,262.5529,251.66829,260.00977,254.1097,267.74088,254.9235,265.096,248.31136,257.87354,248.71826,478.31216,251.77002,243.02164,242.0044,249.63379,238.13882,255.12695,240.98714,551.96124,238.34229,256.958,242.61475,260.41666,260.00977,262.146,
